NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
41;Cipayung;7;MT. Manbaul Hidayah;MT. 622633070041;;Jl. Kp. Rawa Sari RT. 02/06;;;;
;;;;;;Kel. Cipayung Jaya;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
42;Cipayung;7;MT. Hidayatul Muta'alimin;MT. 622633070042 ;;Kp. Utan Jaya, Gg. Romlih;;;;
;;;;;;RT. 09/03, Kel. Pondok Jaya;;;;
;;;;;;;;;;
43;Cipayung;7;MT. Syafaaturosul SAW;MT. 622633070043;;Jl. Kelurahan Cipayung, No. 54;;;;
;;;;;;Blok Rambutan, RT.. 05/04;;;;
;;;;;;Kel. Cipayung;;;;
;;;;;;;;;;
44;Cipayung;7;MT. Uswatun Hasanah;MT. 622633070044;;Kp. Lio RT. 03/08, Kel. Bojong;;;;
;;;;;;Pondok Terong, Kec. Cipayung;;;;
;;;;;;;;;;
45;Cipayung;7;MT. Lailatul Jumah;MT. 622633070045;;Gg. Menteng, RT.04/04;;;;
;;;;;;Kel. Cipayung Jaya;;;;
;;;;;;;;;;
46;Cipayung;7;MT. Riyadhussalafiyah;MT. 622633070046;;Kp. Lio Kek, RT. 06/09, Kel.;;;;
;;;;;;Bojong Pondok Terong;;;;
;;;;;;;;;;
47;Cipayung;7;MT. Tarbiyatul Ummahat;MT. 622633070047;;Jl. Sumur Bandang, RT. 02/11;;;;
;;;;;;Kel. Cipayung,Kec. Cipayung;;;;
;;;;;;;;;;
48;Cipayung;7;Ahlul Kisa;MT. 622633070048;;Jl. Rawasari I, RT. 002/005;;;;
;;;;;;Kel. Cipayung Jaya, Kec.;;;;
;;;;;;Cipayung, Depok;;;;
;;;;;;;;;;
49;Cipayung;7;Arrahmah;MT. 622633070049;;Bojong, RT. 004/005;;;;
;;;;;;Kel. Bojong Pondok Terong;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
50;Cipayung;7;MT. Ratib dan Maulid;MT. 622633070050;;Jl. Masjid  Al Ittihad, Gg. Melati;;;;
;;;Al Musawa Depok;;;RT. 005/003, Kel. Bojong;;;;
;;;;;;Pondok Terong, Kec. Cipayung;;;;
;;;;;;;;;;
51;Cipayung;7;MT. Assalafiyah;MT. 622633070051;;Jl. Swadaya III, RT. 005/003;;;;
;;;;;;Kel. Bojong Pondok Terong;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
52;Cipayung;7;MT. Nuurul Huuda;MT. 622633070052;;Jl. Mandor Maryono, RT. 04/01;;;;
;;;;;;Kel. Ratu Jaya, Cipayung;;;;
;;;;;;;;;;
53;Cipayung;7;MT. Al Istiqomah;MT. 622633070053;;Ratu Jaya, RT. 03/06, Kel. Ratu;;;;
;;;;;;Jaya, Kec. Cipayung, Depok;;;;
;;;;;;;;;;
54;Cipayung;7;MT. As Syibaniyah;MT. 622633070054;;Jl. K. H. Ridi, No. 75, RT. 03/02;;;;
;;;;;;Kel. Pondok Jaya, Cipayung;;;;
;;;;;;;;;;
55;Cipayung;7;MT. Al Quroniyyah;MT. 622633070055;;Pos Citayam, RT. 001/012;;;;
;;;;;;Kel. Bojong Pondok Terong;;;;
;;;;;;Kec. Cipayung, Kota Depok;;;;
;;;;;;;;;;
56;Cipayung;7;MT. Assa'niyah;MT. 622633070056;;JL. Gandaria III, RT. 04/06;;;;
;;;;;;Kel. Ratu Jaya, Kec. Cipayung;;;;
;;;;;;;;;;
57;Cipayung;7;MT. Darul Hidayah;MT. 622633070057;;Jl. H. Saripin RT. 03/09;;;;
;;;;;;Kel. Bojong Pondok Terong;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
58;Cipayung;7;MT. Al Istiqomah;MT. 622633070058;;Bojong Pulo, RT. 007/003;;;;
;;;;;;Kel. Bojong Pondok Terong;;;;
;;;;;;Kec. Cipayung, Depok 16444;;;;
;;;;;;;;;;
59;Cipayung;7;MT. Hidayatussalikien;MT. 622633070059;;Jl. Masjid Al-Ittihad Gg. Abdul;;;;
;;;;;;Ghani, Kp. Bojong, RT. 02/04;;;;
;;;;;;Kel. Bojong Pondok Terong,;;;;
;;;;;;Cipayung, Kota Depok;;;;
;;;; ;;;;;;
60;Cipayung;7;MT. Al - Ittihadiyah;MT. 622633070060;;Jl. Masjid Al-Ittihad, RT. 01;;;;
;;;;;;RW. 04, No. 37, Kel. Bojong;;;;
;;;;;;Pondok Terong, Kec. Cipayung;;;;
;;;;;;Kota, Depok;;;;
;;;;;;;;;;
61;Cipayung;7;MT. Jam'iyyah Silaturahmi;MT. 622633070061;;Jl. Raya Citayam, No. 99;;;;
;;;Sholat Subuh Korwil;;;Kel. Bojong Pondok Terong;;;;
;;;Citayam Depok;;;Kec. Cipayung, Kota Depok;;;;
;;;;;;;;;;
62;Cipayung ;7;MT. Mushola Al-Hayat;MT. 622633070062;;Jl. Gandaria I RT. 02, RW. 06;;;;
;;;;;;Kel. RatuJaya, Kec. Cipayung;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
63;Cipayung;7;MT. An Naafiah;MT. 622633070063;;Jl. Masjid Al Wahyu No. 45;;;;
;;;;;;RT. 03, RW. 01, Kel. Bojong;;;;
;;;;;;Pondok Terong, Cipayung;;;;
;;;;;;;;;;
64;Cipayung;7;MT. Al Mubarok;MT. 622633070064;;Jl. Raya Citayam, Gg. Gandaria 1;;;;
;;;;;;RT. 01, RW. 06, Kec. Ratujaya;;;;
;;;;;;Kec. Cipayung, Kota Depok;;;;
;;;;;;;;;;
65;Cipayung;7;MT. Al Hikmah;MT. 622633070065;;Jl. Masjid Al Wahyu No. 45;;;;
;;;;;;RT. 03 RW. 01, Kel. Bojong;;;;
;;;;;;Pondok Terong, Kec. Cipayung;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
66;Cipayung;7;MT. Nurul Yaqin;MT. 622633070066;;Jl. Gandaria 1 RT. 01 RW. 06;;;;
;;;;;;Kel. Ratujaya, Kec. Cipayung;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
67;Cipayung;7;MT. Al Mudawwamah;MT. 622633070067;;Jl. Raya Citayam, Gg. Gandaria 1;;;;
;;;;;;RT. 01 RW. 06, Kel. Ratujaya;;;;
;;;;;;Kec. Cipayung, Kota Depok;;;;
;;;;;;;;;;
68;Cipayung;7;MT. Nurul Mubin;MT. 622633070068;;Jl. Citayam Ratujaya RT. 01/04;;;;
;;;;;;Kel. Ratujaya, Kec. Cipayung;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
69;Cipayung;7;MT. Nurul Huda;MT. 622633070069;;Jalan Raya Rawageni, RT. 04/01;;;;
;;;;;;Kel. Ratujaya, Kec. Cipayung;;;;
;;;;;;;;;;
70;Cipayung;7;MT. Assyifa;MT. 622633070070;;Jl. Rawa Sari, RT. 002, RW. 006;;;;
;;;;;;Kel. Cipayung Jaya, Kec. Cipayung;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
