NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
50;Cilodong;8;MT. Al Hijrah I;MT. 622633080050;;Kebon Duren, RT. 04/04;;;;
;;;;;;Kalimulya;;;;
;;;;;;;;;;
51;Cilodong;8;MT. Qiroatul Qur'an;MT. 622633080051;;Jl. H. Rosib RT. 02/02, No. 1;;;;
;;;;;;;;;;
52;Cilodong;8;MT. Al Falah;MT. 622633080052;;Kebon Duren, RT. 02/06;;;;
;;;;;;Kalimulya;;;;
;;;;;;;;;;
53;Cilodong;8;MT. Nurul Iman;MT. 622633080053;;Jl. Raya Kalimulya. RT. 03/05;;;;
;;;;;;;;;;
54;Cilodong;8;MT. An Nurrahmah;MT. 622633080054;;Jl. Raya Kalimulya,Kebon Duren;;;;
;;;;;;RT. 02/05;;;;
;;;;;;;;;;
55;Cilodong;8;MT. Al Khairiyah;MT. 622633080055;;Jl. Raya Kalimulya, Kebon Duren;;;;
;;;;;;;;;;
56;Cilodong;8;MT. Nurul Iman;MT. 622633080056;;Kebon Duren, RT. 01/07;;;;
;;;;;;Kalimulya;;;;
;;;;;;;;;;
57;Cilodong;8;MT. Rowdhatul Jannah;MT. 622633080057;;Kebon Duren, RT. 05/01;;;;
;;;;;;Kalimulya;;;;
;;;;;;;;;;
58;Cilodong;8;MT. At Ta'awun;MT. 622633080058;;Jl. Kebon Duren, RT. 02/07;;;;
;;;;;;Kel. Kalimulya, Kec. Cilodong;;;;
;;;;;;;;;;
59;Cilodong;8;MT. Al Ikhlas;MT. 622633080059;;Jl. Kebon Duren, RT. 05/08;;;;
;;;;;;Kel. Kalimulya, Kec. Cilodong;;;;
;;;;;;;;;;
60;Cilodong;8;MT. At Taubah;MT. 622633080060;;Jl. Trubus, No. 28, RT. 03/01;;;;
;;;;;;Kel. Kalimulya, Kec. Cilodong;;;;
;;;;;;;;;;
